15:41:33.687 [ATL-Logging-Thread] INFO  - Organising filesystem

15:41:33.722 [ATL-Logging-Thread] INFO  - ATLauncher Version: 3.4.36.9 [591787b9c8c568d7403c1b5c47e43df7a9600d36]

15:41:33.724 [ATL-Logging-Thread] INFO  - App Arguments: ["--working-dir","**USERSDIR**","--no-launcher-update"]

15:41:33.727 [ATL-Logging-Thread] INFO  - JVM Arguments: []

15:41:33.728 [ATL-Logging-Thread] INFO  - Java Version: Java 21 (21)

15:41:33.731 [ATL-Logging-Thread] INFO  - Java Path: /nix/store/bk3x3ia7gxqic1jgr3dz05gwi8zw671y-openjdk-21+35/lib/openjdk

15:41:33.732 [ATL-Logging-Thread] INFO  - 64 Bit Java: true

15:41:33.735 [ATL-Logging-Thread] INFO  - RAM Available: 31911MB

15:41:33.736 [ATL-Logging-Thread] INFO  - Launcher Directory: **USERSDIR**

15:41:33.770 [ATL-Logging-Thread] INFO  - GPU: Navi 33 [Radeon RX 7700S/7600/7600S/7600M XT/PRO W7600] (Advanced Micro Devices, Inc. [AMD/ATI] (0x1002)) unknown 8448MB VRAM

15:41:33.874 [ATL-Logging-Thread] INFO  - CPU: 13th Gen Intel(R) Core(TM) i5-13600KF 14 cores/20 threads

15:41:33.878 [ATL-Logging-Thread] INFO  - Operating System: NixOS (24.11 (Vicuna) build 6.6.35)

15:41:33.879 [ATL-Logging-Thread] INFO  - Bitness: 64

15:41:33.883 [ATL-Logging-Thread] INFO  - Uptime: 6337

15:41:33.885 [ATL-Logging-Thread] INFO  - Manufacturer: GNU/Linux

15:41:33.888 [ATL-Logging-Thread] INFO  - Showing splash screen and loading everything

15:41:33.889 [ATL-Logging-Thread] INFO  - Checking for updated files!

15:41:36.463 [ATL-Logging-Thread] INFO  - Launcher finished loading everything

15:41:36.475 [ATL-Logging-Thread] INFO  - Launcher opening

15:41:36.475 [ATL-Logging-Thread] INFO  - Made By Bob*

15:41:36.475 [ATL-Logging-Thread] INFO  - *(Not Actually)

15:41:36.477 [ATL-Logging-Thread] INFO  - Setting up Bottom Bar

15:41:36.507 [ATL-Logging-Thread] INFO  - Finished Setting up Bottom Bar

15:41:36.508 [ATL-Logging-Thread] INFO  - Setting up Tabs

15:41:36.647 [ATL-Logging-Thread] INFO  - Finished Setting up Tabs

15:41:36.652 [ATL-Logging-Thread] INFO  - Showing Launcher

15:41:52.807 [ATL-Logging-Thread] INFO  - Preparing for launch!

15:41:53.569 [ATL-Logging-Thread] INFO  - Launching pack Minecraft 1.20.1 (Vanilla) for Minecraft 1.20.1

15:41:53.570 [ATL-Logging-Thread] INFO  - Logging into Minecraft!

15:41:53.589 [ATL-Logging-Thread] INFO  - Using Java runtime java-runtime-gamma (Java 17.0.8) at path **USERSDIR**/runtimes/minecraft/java-runtime-gamma/linux/java-runtime-gamma

15:41:53.643 [ATL-Logging-Thread] INFO  - Loader: NeoForge 47.1.106

15:41:53.643 [ATL-Logging-Thread] INFO  - Mods:

15:41:53.644 [ATL-Logging-Thread] INFO  -  - /physics-mod-3.0.14-mc-1.20.1-forge.jar (Added)

15:41:53.645 [ATL-Logging-Thread] INFO  -  - /entityculling-forge-1.6.6-mc1.20.1.jar (Added)

